_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65921fc5a65b7d25a18b5a30|true|70.6|97.25|70.6|72.77|353,0,0,0|time|60|-1|3|60|0|36.74|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704075205000
65921e21a65b7d25a18b529a||63.39|95.25|64.59|70.02|317,1,1,0|time|60|-1|1|60.01|0|6.16|false|false|english|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704074785000
65920e70a65b7d25a18b08b6||46.39|89.39|46.39|63.09|58,0,0,0|time|15|-1|0|15|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070768000
65920e60a65b7d25a18b084d||49.95|95|49.95|63.19|56,0,0,0|custom|custom|-1|0|13.45|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070752000
65920e4fa65b7d25a18b07e9||51.17|92.75|51.17|66.52|64,0,0,0|time|15|-1|0|15.01|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070735000
65920e3ea65b7d25a18b079d||32.49|91.74|32.49|51.48|99,0,0,0|custom|custom|-1|0|36.56|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070718000
65920e15a65b7d25a18b06e1||52.78|97.06|52.78|65.96|66,0,0,0|time|15|-1|0|15|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070677000
65920dffa65b7d25a18b066a||48.78|92.86|48.78|69.03|61,0,0,0|time|15|-1|0|15.01|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070655000
65920deda65b7d25a18b061e||58.37|94.87|58.37|73.54|73,0,0,0|time|15|-1|0|15.01|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070637000
65920ddca65b7d25a18b05d5||45.59|89.39|45.59|53.27|57,0,0,0|time|15|-1|0|15|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070620000
65920daea65b7d25a18b04ff||49.56|91.43|49.56|69.03|62,0,0,0|time|15|-1|0|15.01|0|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070574000
65920d9da65b7d25a18b04c0||26.43|85.59|26.43|33.04|84,0,0,0|custom|custom|-1|0|38.13|5|0|false|false|english_1k|none|normal|false|false|false|6549a314c46e6fc4875bdfdf|1704070557000
