_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6653c8bc6d1b0584d2234088,,87.19,97.32,87.19,77.13,109;0;0;0,time,15,-1,1,15,0,6.47,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766908000
6653c88b6d1b0584d2233f76,,93.59,99.15,93.59,84.7,117;0;0;0,time,15,-1,2,15,0,5.77,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766859000
6653c7b96d1b0584d2233adb,,60.99,93.57,60.99,66.99,128;0;0;0,custom,custom,-1,0,25.18,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766649000
6653c7916d1b0584d22339fa,,81.2,97.61,81.2,73.15,203;0;0;0,time,30,-1,1,30,0,1.54,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766609000
6653c76e6d1b0584d2233923,,71.98,96.18,71.98,68.36,150;0;0;0,custom,custom,-1,0,25.01,1,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766574000
6653c7516d1b0584d223387a,,75.18,95.07,77.98,74.78,188;2;0;0,time,30,-1,1,30.01,0,1.18,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766545000
6653c7206d1b0584d223376f,,81.2,96.31,84,71.74,203;2;0;0,time,30,-1,3,30,0,4.64,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766496000
6653c6e66d1b0584d2233648,,77.19,94.29,79.59,66.61,193;0;2;0,time,30,-1,9,30,0,37.7,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766438000
6653c63b6d1b0584d2233246,,85.19,97.27,85.19,75.52,213;0;0;0,time,30,-1,2,30,0,3.52,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766267000
6653c6006d1b0584d22330ec,,84.38,99.06,84.38,78.38,211;0;0;0,time,30,-1,1,30.01,0,13.49,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766208000
6653c5b66d1b0584d2232f24,,81.18,97.66,83.18,80.26,203;0;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716766134000
664e3372bea7806f66f0b9f3,,80.19,98.06,80.19,76,401;0;0;0,time,60,-1,2,60,0,4.78,false,false,english,none,normal,false,false,false,6549a314c46e6fc4875bdfdf,1716401010000
